comparison,component,n_samples,correlation,pysolid_peak_to_peak,other_peak_to_peak,pysolid_over_other_amplitude,rms_centered_difference
pysolid_vs_spotl,eps_NN,1437,0.9907202245279682,4.307122236861605e-08,4.676842e-08,0.9209467065300913,2.150846071291892e-09
pysolid_vs_spotl,eps_EE,1437,0.9984994365122839,3.4576409483639434e-08,3.930685e-08,0.8796535332553851,1.8098577836435098e-09
pysolid_vs_spotl,eps_NE,1437,0.9999747528716498,2.0353741035670776e-08,1.961674e-08,1.0375700058047757,2.1649729620510193e-10
pysolid_vs_spotl,areal_strain,1437,0.9949949756894206,7.441351181120087e-08,8.261928e-08,0.9006797422006203,3.952642730514304e-09
pysolid_vs_analytic,eps_NN,1437,0.9895035319948622,4.307122236861605e-08,4.462521824057132e-08,0.9651767333981923,2.0081979581858434e-09
pysolid_vs_analytic,eps_EE,1437,0.9968935185238929,3.4576409483639434e-08,3.790074856184125e-08,0.9122883002488034,1.5937907362423819e-09
pysolid_vs_analytic,eps_NE,1437,0.9996203829604594,2.0353741035670776e-08,1.95226939511821e-08,1.042568258590068,2.9346974004782634e-10
pysolid_vs_analytic,areal_strain,1437,0.9927243406769733,7.441351181120087e-08,7.868996420908417e-08,0.9456544117046426,3.5763017030440063e-09
